sample_id	total_mutations	bin_label	sbs3_relative_exposure_true	recovered_exome_normalized	recovered_no_normalization	abs_error_normalized	abs_error_no_normalization	normalization_improves
SIM-05928	15	[15,25)	0.1101	0.0	0.0	0.1101	0.1101	False
SIM-05979	79	[75,85)	0.006	0.0	0.0	0.006	0.006	False
SIM-06016	57	[55,65)	0.1669	0.0	0.0	0.1669	0.1669	False
SIM-06071	98	[95,105)	0.124	0.0	0.0	0.124	0.124	False
SIM-06077	85	[85,95)	0.0694	0.0	0.0	0.0694	0.0694	False
SIM-06083	52	[45,55)	0.1008	0.0	0.0	0.1008	0.1008	False
SIM-06115	33	[25,35)	0.0	0.0	0.0	0.0	0.0	False
SIM-06167	67	[65,75)	0.0241	0.0	0.0	0.0241	0.0241	False
SIM-06168	41	[35,45)	0.1237	0.0	0.0	0.1237	0.1237	False
SIM-06192	60	[55,65)	0.1595	0.0	0.0	0.1595	0.1595	False
SIM-06226	5	[5,15)	0.1975	0.0	0.0	0.1975	0.1975	False
SIM-06257	91	[85,95)	0.082	0.0	0.0	0.082	0.082	False
SIM-06305	55	[55,65)	0.0085	0.0	0.0	0.0085	0.0085	False
SIM-06322	67	[65,75)	0.0613	0.0	0.0	0.0613	0.0613	False
SIM-06338	96	[95,105)	0.0314	0.0	0.0	0.0314	0.0314	False
SIM-06355	50	[45,55)	0.0321	0.0	0.0	0.0321	0.0321	False
SIM-06367	32	[25,35)	0.0	0.0	0.0	0.0	0.0	False
SIM-06373	51	[45,55)	0.0004	0.0	0.0	0.0004	0.0004	False
SIM-06398	83	[75,85)	0.2246	0.0	0.0	0.2246	0.2246	False
SIM-06425	69	[65,75)	0.0254	0.0	0.0	0.0254	0.0254	False
SIM-06443	101	[95,105)	0.0499	0.0	0.0	0.0499	0.0499	False
SIM-06460	90	[85,95)	0.2989	0.444444	0.488889	0.145544	0.189989	True
SIM-06482	32	[25,35)	0.0767	0.0	0.0	0.0767	0.0767	False
SIM-06524	106	[105,116)	0.0	0.0	0.0	0.0	0.0	False
SIM-06529	56	[55,65)	0.0	0.0	0.0	0.0	0.0	False
SIM-06575	49	[45,55)	0.2048	0.0	0.0	0.2048	0.2048	False
SIM-06713	95	[95,105)	0.0	0.0	0.0	0.0	0.0	False
SIM-06731	72	[65,75)	0.0	0.0	0.0	0.0	0.0	False
SIM-06735	80	[75,85)	0.0	0.0	0.0	0.0	0.0	False
SIM-06802	45	[45,55)	0.0433	0.0	0.0	0.0433	0.0433	False
SIM-06840	79	[75,85)	0.1998	0.0	0.0	0.1998	0.1998	False
SIM-06850	112	[105,116)	0.031	0.0	0.0	0.031	0.031	False
SIM-06856	70	[65,75)	0.0412	0.0	0.0	0.0412	0.0412	False
SIM-06871	13	[5,15)	0.0	0.0	0.0	0.0	0.0	False
SIM-06884	16	[15,25)	0.3829	0.0	0.0	0.3829	0.3829	False
SIM-06926	72	[65,75)	0.2741	0.0	0.0	0.2741	0.2741	False
SIM-06945	92	[85,95)	0.1809	0.0	0.0	0.1809	0.1809	False
SIM-06956	33	[25,35)	0.2299	0.0	0.0	0.2299	0.2299	False
SIM-06963	98	[95,105)	0.0667	0.0	0.0	0.0667	0.0667	False
SIM-06975	32	[25,35)	0.0	0.0	0.0	0.0	0.0	False
SIM-06981	82	[75,85)	0.1177	0.0	0.0	0.1177	0.1177	False
SIM-07043	66	[65,75)	0.0	0.0	0.0	0.0	0.0	False
SIM-07081	34	[25,35)	0.1947	0.0	0.0	0.1947	0.1947	False
SIM-07096	72	[65,75)	0.1732	0.0	0.0	0.1732	0.1732	False
SIM-07105	33	[25,35)	0.3803	0.0	0.0	0.3803	0.3803	False
SIM-07108	70	[65,75)	0.0822	0.0	0.0	0.0822	0.0822	False
SIM-07117	73	[65,75)	0.1088	0.0	0.0	0.1088	0.1088	False
SIM-07154	79	[75,85)	0.0178	0.0	0.0	0.0178	0.0178	False
